CoC Number,County,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,pct_change_total_homeless_per_10k,target_class
AL-501,mobile county,2.631751953517868,5.2,124.85,366.49,2011,0.02,0.0,0.0,121700.0,1073690.0,31342.0,0,-0.11989066252110714,0
AL-501,mobile county,2.631751953517868,9.4,119.84,351.78,2012,0.02,0.0,0.0,125500.0,1073690.0,31342.0,0,-0.2226660172734226,0
AL-501,mobile county,2.631751953517868,8.7,118.26,347.16,2013,0.02,0.0,0.0,121200.0,1073690.0,31342.0,0,0.20993119569014196,1
AL-501,mobile county,2.631751953517868,7.7,120.49,353.71,2014,0.02,0.0,0.0,120700.0,1073690.0,31342.0,0,-0.03407771488482525,0
AL-501,mobile county,2.631751953517868,6.9,124.12,364.36,2015,0.02,0.0,0.0,120500.0,1073690.0,31342.0,9,0.07930710250911344,1
AL-501,mobile county,2.631751953517868,6.6,126.47,371.24,2016,0.02,0.0,0.0,126800.0,1073690.0,31342.0,18,-0.025217143022327027,0
AL-501,mobile county,2.631751953517868,5.3,130.78,383.89,2017,0.02,0.31,0.29,131200.0,1073690.0,31342.0,9,-0.09032396616208727,0
AL-501,mobile county,2.631751953517868,4.7,137.74,404.33,2018,0.02,0.33,0.3,131700.0,1073690.0,31342.0,20,-0.08227130679016936,0
AZ-501,pima county,2.631751953517868,5.2,120.35,427.91,2011,0.03,0.0,0.0,165700.0,1073690.0,31342.0,0,-0.10157470592614548,0
AZ-501,pima county,3.359172126611377,7.4,117.64,418.28,2012,0.03,0.0,0.0,153500.0,775191.0,17082.0,0,-0.058048298171763935,0
AZ-501,pima county,3.357017683606818,6.8,123.86,440.4,2013,0.03,0.0,0.0,155300.0,784625.0,17327.0,0,-0.03408007205323116,0
