CoC Number,County,Year,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,target_class
AL-501,mobile county,2013,2.7993819659039616,8.7,118.26,347.16,2013,0.02,0.0,0.0,121200.0,780155.0,22795.0,0,0,0,0,1,11.905940653836586,6.278995070988869,5.626945582847718,125400.0,548.0,811.0,0.4932051257197138,98.0,0.0,0.33,9.4,39691.0,21.1,188890.0,0.20993119569014196,1
AL-501,mobile county,2014,2.7993819659039616,7.7,120.49,353.71,2014,0.02,0.0,0.0,120700.0,780155.0,22795.0,0,0,0,0,1,14.40536901111237,11.105142331309034,3.300226679803336,124300.0,561.0,816.0,0.5029996720615753,109.0,0.0,0.33,8.7,42944.0,20.0,186932.0,-0.03407771488482525,0
AL-501,mobile county,2015,2.7993819659039616,6.9,124.12,364.36,2015,0.02,0.0,0.0,120500.0,780155.0,22795.0,9,0,0,0,1,13.914466953140986,8.762743894365604,5.151723058775383,124500.0,576.0,826.0,0.4958484842592413,118.0,0.0,0.33,7.7,43642.0,19.3,185640.0,0.07930710250911344,1
AL-501,mobile county,2016,2.7993819659039616,6.6,126.47,371.24,2016,0.02,0.0,0.0,126800.0,780155.0,22795.0,18,0,0,0,1,15.01798301015341,9.328987841,5.688995169175288,122400.0,598.0,816.0,0.4991469561845676,122.0,0.0,0.33,6.9,42699.0,17.7,186483.0,-0.025217143022327027,0
AL-501,mobile county,2017,2.7993819659039616,5.3,130.78,383.89,2017,0.02,0.31,0.29,131200.0,780155.0,22795.0,9,0,0,0,1,14.639272384679494,8.237610368276744,6.401662016402749,123500.0,606.0,818.0,0.4851509667587389,118.0,0.0,0.34,6.6,45744.0,19.4,186230.0,-0.09032396616208727,0
AL-501,mobile county,2018,2.7993819659039616,4.7,137.74,404.33,2018,0.02,0.33,0.3,131700.0,780155.0,22795.0,20,0,0,0,1,13.316995241168124,7.685670574757648,5.631324666410478,124500.0,623.0,831.0,0.4791566008928744,118.0,0.29,0.34,5.3,46023.0,19.6,189017.0,-0.08227130679016936,0
AZ-501,pima county,2013,3.357017683606818,6.8,123.86,440.4,2013,0.03,0.0,0.0,155300.0,784625.0,17327.0,0,0,0,1,0,22.45738815959797,17.43006400054588,5.027324159052093,177500.0,658.0,906.0,0.4971227667360264,100.0,0.0,0.36,7.4,44762.0,20.0,466804.0,-0.03408007205323116,0
AZ-501,pima county,2014,3.329786290680145,6.0,132.16,469.9,2014,0.03,0.0,0.0,158400.0,789390.0,17373.0,0,0,0,1,0,21.69203875299149,17.043033659991476,4.649005093000012,167500.0,675.0,896.0,0.5000348611827702,95.0,0.0,0.37,6.8,43824.0,19.5,462267.0,-0.1496839830083858,0
AZ-501,pima county,2015,3.298090262995778,5.5,136.01,483.59,2015,0.03,0.0,0.0,165900.0,798644.0,17343.0,119,0,0,1,0,18.445087992871464,14.85111754659538,3.593970446276082,161700.0,686.0,889.0,0.4938539162236294,89.0,0.0,0.38,6.0,45856.0,18.9,465898.0,-0.05836580017093229,0
AZ-501,pima county,2016,3.265538677040091,5.0,142.83,507.83,2016,0.03,0.0,0.0,170300.0,803849.0,17328.0,135,0,0,1,0,17.368525672944266,13.619285853458845,3.7492398194854193,159900.0,686.0,874.0,0.489602125,85.0,0.0,0.39,5.5,47099.0,18.9,467826.0,-0.11393778513125297,0
AZ-501,pima county,2017,3.246865778059456,4.6,153.36,545.28,2017,0.03,0.3,0.31,182300.0,807856.0,17504.0,104,0,0,1,0,15.389594326773691,11.625303465396389,3.764290861377301,160800.0,698.0,874.0,0.4905844134622298,78.0,0.0,0.39,5.0,47560.0,18.4,471452.0,-0.13700981865921336,0
AZ-501,pima county,2018,3.130206920602937,4.4,162.91,579.26,2018,0.03,0.31,0.3,198100.0,825824.0,17619.0,72,0,0,1,0,13.281068798823568,9.787570266959108,3.49349853186446,166300.0,719.0,894.0,0.4910312275451075,75.0,0.31,0.38,4.6,51425.0,16.7,464230.0,-0.013587221355725765,0
AZ-502,maricopa county,2013,2.6953481814886184,6.6,131.45,452.74,2013,0.04,0.0,0.0,185000.0,3078452.0,52917.0,0,0,0,1,0,14.687939278876804,10.744717679300605,3.943221599576197,193900.0,797.0,1127.0,0.4822003921529988,112.0,0.0,0.36,7.3,51432.0,17.5,1911529.0,-0.014199216445251017,0
AZ-502,maricopa county,2014,2.642657587784824,5.8,147.55,508.19,2014,0.04,0.0,0.0,206300.0,3146643.0,54014.0,0,0,0,1,0,14.479382049921329,11.903040498963714,2.576341550957613,176500.0,793.0,1089.0,0.4788745710152874,105.0,0.0,0.37,6.6,52045.0,17.7,1929092.0,-0.06693196406869006,0
AZ-502,maricopa county,2015,2.555885494,5.1,156.39,538.64,2015,0.04,0.0,0.0,228300.0,3226866.0,53636.0,263,0,0,1,0,13.510248570819158,10.417598880216088,3.092649690603072,175600.0,796.0,1063.0,0.4721826221976046,94.0,0.0,0.39,5.8,53896.0,17.1,1973683.0,-0.005302219861509583,0
AZ-502,maricopa county,2016,2.477107480758116,4.7,169.14,582.54,2016,0.04,0.0,0.0,239300.0,3287100.0,52674.0,193,0,0,1,0,13.43861426251303,9.559280857375104,3.879333405137925,187100.0,806.0,1045.0,0.4640130044376586,87.0,0.0,0.39,5.1,56004.0,16.3,2033488.0,-0.031626426174722555,0
AZ-502,maricopa county,2017,2.386208707,4.3,182.31,627.9,2017,0.04,0.27,0.27,256500.0,3351970.0,52509.0,175,0,0,1,0,13.013598920649088,8.233045811350877,4.780553109298211,204900.0,830.0,1053.0,0.45988263,78.0,0.0,0.4,4.7,58737.0,15.0,2088551.0,0.09719926924781674,1
AZ-502,maricopa county,2018,2.272586904,4.1,196.89,678.12,2018,0.04,0.26,0.27,276800.0,3448713.0,51872.0,227,0,0,1,0,14.278511226020354,8.343112307360258,5.935398918660096,225000.0,862.0,1086.0,0.4531691843784261,72.0,0.27,0.39,4.3,62223.0,13.4,2088547.0,0.03271082411585069,1
CA-500,santa clara county,2013,1.577672060265363,6.6,141.67,1463.15,2013,0.33,0.0,0.0,682300.0,1462598.0,27367.0,0,0,0,1,0,40.98191178389735,10.509972659033824,30.47193912486352,656600.0,1427.0,1858.0,0.4480088539299195,31.0,0.0,0.42,8.0,91425.0,10.8,955979.0,-0.025430443786833123,0
CA-500,santa clara county,2014,1.505081742200712,5.2,161.32,1666.1,2014,0.34,0.0,0.0,746500.0,1494271.0,27190.0,0,0,0,1,0,39.93972358,9.991528577,29.94819500634697,645600.0,1473.0,1868.0,0.4553801011543956,31.0,0.0,0.43,6.6,92014.0,10.5,968154.0,-0.14419400507308833,0
CA-500,santa clara county,2015,1.4354331324932734,4.2,174.52,1802.43,2015,0.35,0.0,0.0,836800.0,1520447.0,26564.0,1784,0,0,1,0,34.18065487548773,10.057120691704675,24.123534183783065,664100.0,1541.0,1902.0,0.462528013,29.0,0.0,0.43,5.2,97532.0,8.4,987613.0,-0.005585083658533163,0
CA-500,santa clara county,2016,1.3685805143264662,3.8,191.45,1977.29,2016,0.36,0.0,0.0,925700.0,1524207.0,25607.0,1719,0,0,1,0,33.98975305850468,9.883286565294815,24.106466493209865,698600.0,1616.0,1938.0,0.461837418,27.0,0.0,0.43,4.2,102340.0,8.2,1012215.0,0.1223889415207946,1
CA-500,santa clara county,2017,1.2909656966431011,3.2,199.17,2056.92,2017,0.36,0.2,0.21,971300.0,1546904.0,25042.0,1457,0,0,1,0,38.14972295788826,10.040486999736348,28.10923595815191,752400.0,1727.0,2026.0,0.4622508482542853,28.0,0.0,0.43,3.8,111069.0,9.4,1027918.0,-0.018639075853106424,0
CA-500,santa clara county,2018,1.2292015993808847,2.6,222.69,2299.86,2018,0.37,0.2,0.21,1110600.0,1550600.0,24289.0,1465,0,0,1,0,37.438647377901184,9.320953566,28.117693812352588,829600.0,1859.0,2152.0,0.4581257571238682,33.0,0.21,0.43,3.2,119035.0,7.4,1037356.0,0.3447651538306402,1
CA-502,alameda county,2013,2.217916324101992,7.3,148.92,1215.23,2013,0.27,0.0,0.0,518900.0,1261319.0,37255.0,0,0,0,1,0,27.006297458152588,12.20476904358819,14.801528414564402,514900.0,1189.0,1565.0,0.4966742976734116,44.0,0.0,0.46,8.8,70500.0,13.1,796456.0,-0.018044167252752707,0
CA-502,alameda county,2014,2.1394617862009166,5.9,172.64,1408.85,2014,0.28,0.0,0.0,587600.0,1291680.0,36508.0,0,0,0,1,0,26.51899130994009,12.01176221552764,14.507229094412452,493800.0,1200.0,1566.0,0.4994218203056708,43.0,0.0,0.47,7.3,72399.0,12.9,799847.0,-0.07006313199596614,0
CA-502,alameda county,2015,2.016341502,4.8,188.67,1539.67,2015,0.29,0.0,0.0,656700.0,1318973.0,35623.0,365,0,0,1,0,24.66098772139188,10.029208620358132,14.631779101033748,509300.0,1233.0,1590.0,0.5024741530783693,39.0,0.0,0.47,5.9,77214.0,12.5,806326.0,0.02008150131911135,1
CA-502,alameda county,2016,1.9234112758339608,4.3,210.23,1715.62,2016,0.29,0.0,0.0,713600.0,1328629.0,34588.0,372,0,0,1,0,25.1562173788496,10.608701562902077,14.547515815947524,543100.0,1272.0,1614.0,0.5000359490356198,32.0,0.0,0.47,4.8,81717.0,11.4,819008.0,0.3453771417841067,1
CA-502,alameda county,2017,1.814228362560505,3.7,225.05,1836.54,2017,0.3,0.24,0.24,781000.0,1346578.0,33769.0,832,0,0,1,0,33.844599835256346,10.618149459773088,23.22645037548326,593500.0,1344.0,1673.0,0.4962657709996675,28.0,0.0,0.47,4.3,89979.0,10.7,831827.0,-0.025714823275050147,0
CA-502,alameda county,2018,1.7107409538148006,3.1,245.16,2000.68,2018,0.31,0.24,0.24,842000.0,1352338.0,32839.0,805,0,0,1,0,32.97429193167794,9.797492489889024,23.176799441788912,649100.0,1447.0,1779.0,0.4889810510727254,26.0,0.24,0.47,3.7,96296.0,9.2,838175.0,0.4556106692553099,1
CA-503,sacramento county,2013,3.638699957905931,9.0,137.0,651.35,2013,0.15,0.0,0.0,238000.0,1128425.0,56492.0,0,0,0,1,0,17.358225767732165,11.982510459049156,5.375715308683012,249800.0,895.0,1253.0,0.5446467193726818,67.0,0.0,0.42,10.7,52667.0,19.6,679873.0,-0.048020426953775064,0
CA-503,sacramento county,2014,3.613836054389042,7.4,157.93,750.89,2014,0.15,0.0,0.0,273800.0,1143245.0,56979.0,0,0,0,1,0,16.524676355205646,11.221125675258058,5.303550679947585,234200.0,899.0,1232.0,0.548709706,64.0,0.0,0.43,9.0,52936.0,19.0,677831.0,0.07178522480175697,1
