CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
AL-501,mobile county,2013,0,0,0,1,125400.0,548.0,811.0,0.4932051257197138,98.0,0.0,0.33,9.4,39691.0,21.1,188890.0,0.20993119569014196
AL-501,mobile county,2014,0,0,0,1,124300.0,561.0,816.0,0.5029996720615753,109.0,0.0,0.33,8.7,42944.0,20.0,186932.0,-0.03407771488482525
AL-501,mobile county,2015,0,0,0,1,124500.0,576.0,826.0,0.4958484842592413,118.0,0.0,0.33,7.7,43642.0,19.3,185640.0,0.07930710250911344
AL-501,mobile county,2016,0,0,0,1,122400.0,598.0,816.0,0.4991469561845676,122.0,0.0,0.33,6.9,42699.0,17.7,186483.0,-0.025217143022327027
AL-501,mobile county,2017,0,0,0,1,123500.0,606.0,818.0,0.4851509667587389,118.0,0.0,0.34,6.6,45744.0,19.4,186230.0,-0.09032396616208727
AL-501,mobile county,2018,0,0,0,1,124500.0,623.0,831.0,0.4791566008928744,118.0,0.29,0.34,5.3,46023.0,19.6,189017.0,-0.08227130679016936
AZ-501,pima county,2013,0,0,1,0,177500.0,658.0,906.0,0.4971227667360264,100.0,0.0,0.36,7.4,44762.0,20.0,466804.0,-0.03408007205323116
AZ-501,pima county,2014,0,0,1,0,167500.0,675.0,896.0,0.5000348611827702,95.0,0.0,0.37,6.8,43824.0,19.5,462267.0,-0.1496839830083858
AZ-501,pima county,2015,0,0,1,0,161700.0,686.0,889.0,0.4938539162236294,89.0,0.0,0.38,6.0,45856.0,18.9,465898.0,-0.05836580017093229
AZ-501,pima county,2016,0,0,1,0,159900.0,686.0,874.0,0.489602125,85.0,0.0,0.39,5.5,47099.0,18.9,467826.0,-0.11393778513125297
AZ-501,pima county,2017,0,0,1,0,160800.0,698.0,874.0,0.4905844134622298,78.0,0.0,0.39,5.0,47560.0,18.4,471452.0,-0.13700981865921336
AZ-501,pima county,2018,0,0,1,0,166300.0,719.0,894.0,0.4910312275451075,75.0,0.31,0.38,4.6,51425.0,16.7,464230.0,-0.013587221355725765
AZ-502,maricopa county,2013,0,0,1,0,193900.0,797.0,1127.0,0.4822003921529988,112.0,0.0,0.36,7.3,51432.0,17.5,1911529.0,-0.014199216445251017
AZ-502,maricopa county,2014,0,0,1,0,176500.0,793.0,1089.0,0.4788745710152874,105.0,0.0,0.37,6.6,52045.0,17.7,1929092.0,-0.06693196406869006
AZ-502,maricopa county,2015,0,0,1,0,175600.0,796.0,1063.0,0.4721826221976046,94.0,0.0,0.39,5.8,53896.0,17.1,1973683.0,-0.005302219861509583
AZ-502,maricopa county,2016,0,0,1,0,187100.0,806.0,1045.0,0.4640130044376586,87.0,0.0,0.39,5.1,56004.0,16.3,2033488.0,-0.031626426174722555
AZ-502,maricopa county,2017,0,0,1,0,204900.0,830.0,1053.0,0.45988263,78.0,0.0,0.4,4.7,58737.0,15.0,2088551.0,0.09719926924781674
