CoC Number,County,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,CoC Number Original,CoC Name,CoC Category,State,Median_House_Values_1_year,Percentage_of_Households_with_Cost_Burden_1_year,Median_Rent_1_year,Median_Gross_Rent_1_year,Share_of_Renter_Occupied_Units_1_year,Rental_Vacancy_Rates_1_year,Total_Housing_Units_1_year,Share_of_Overcrowded_Housing_Units_1_year,Share_of_Single_Person_Households_1_year,Median_Rental_Utility_Cost_1_year,Median_House_Values_5_year,Percentage_of_Households_with_Cost_Burden_5_year,Median_Rent_5_year,Median_Gross_Rent_5_year,Share_of_Renter_Occupied_Units_5_year,Rental_Vacancy_Rates_5_year,Total_Housing_Units_5_year,Share_of_Overcrowded_Housing_Units_5_year,Share_of_Single_Person_Households_5_year,Median_Rental_Utility_Cost_5_year,Geography,FIPS code,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,LAUS Code,State FIPS,County FIPS,Labor Force,Employed,Unemployed,Unemployment Rate,Total Population,Share of Single-Adult Households,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Total Two or more races,Estimate Total  10 to 14 years,Estimate Total  15 to 17 years,Estimate Total  18 and 19 years,Estimate Total  20 years,Estimate Total  21 years,Estimate Total  22 to 24 years,Estimate Total  25 to 29 years,Estimate Total  30 to 34 years,Estimate Total  35 to 39 years,Estimate Total  40 to 44 years,Estimate Total  45 to 49 years,Estimate Total  5 to 9 years,Estimate Total  50 to 54 years,Estimate Total  55 to 59 years,Estimate Total  60 and 61 years,Estimate Total  62 to 64 years,Estimate Total  65 and 66 years,Estimate Total  67 to 69 years,Estimate Total  70 to 74 years,Estimate Total  75 to 79 years,Estimate Total  80 to 84 years,Estimate Total  85 years and over,Estimate Total  Under 5 years,Proportion of Females,Estimate Gini Index,Median Household Income,Gini Index,Poverty Rate,JanuaryPrecipitation,YearlyPrecipitation,SummerTemperature,JanuaryTemperature,Share of Families Receiving Cash Assistance,Percentage of Homes Built before 1940,HUD_Assisted_Total_Units,Total Housing Units,Share of HUD-Assisted Units,HUD_Subsidized_Total_Units,pct_occupied,number_reported,pct_reported,Disabled workers,Total,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,With a Disability Estimate Population Age 16 and Over,Aged,Blind and disabled,SSI Participation Rate (Percent),SSDI Participation Rate (Percent),total_homeless_per_10k,total_sheltered_homeless_per_10k,unsheltered_homeless_per_10k,pct_change_total_homeless_per_10k,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Overall Homeless_lag1,Sheltered Total Homeless_lag1,Unsheltered Homeless_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1
AL-501,mobile county,2013,493,260,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,121200.0,0.5129755706848218,586.0,786.0,0.34,132.0,180503.0,0.008545854,0.0,200.0,124300,0.5029996720615753,561,816.0,0.33,109.0,179154,0.005129593,0.0,255.0,0500000US01097,1097.0,-1.31,347.16,173.3,118.26,CN0109700000000,1.0,97.0,186932.0,170729.0,16203.0,8.7,414079.0,0.097507963,0.6,0.35,0.0,0.02,0.0,0.0,0.02,0.067033102,0.040084139,0.027219444,0.015922083,0.01329215,0.042561927,0.069018231,0.064709874,0.059809843,0.061116357,0.063178765,0.068059477,0.072862908,0.068658396,0.021935428,0.036565486,0.023526912,0.025089415,0.034848423,0.023203302,0.016187732,0.01899396,0.066122648,0.52,0.4588,42944.0,0.4588,20.0,2.98,70.95,80.0,65.5,0.3231790685093198,0.045090663,29018.0,179154.0,0.1619723813032363,14509.0,81.0,11288.0,97.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,14.40536901111237,11.105142331309034,3.300226679803336,0.20993119569014196,11.905940653836586,6.278995070988869,5.626945582847718,634.0,324.0,310.0,125400.0,548.0,811.0,0.4932051257197138,98.0,0.0,0.33,9.4,39691.0,21.1,188890.0
AL-501,mobile county,2014,598,461,137,126,44,428,0,0,0,0,0,0,0,0,0,0,0,0,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,120700.0,0.4956606496841553,611.0,823.0,0.35,125.0,181618.0,0.001824699,0.0,212.0,124500,0.4958484842592413,576,826.0,0.33,118.0,180277,0.004974093,0.0,250.0,0500000US01097,1097.0,1.89,353.71,176.57,120.49,CN0109700000000,1.0,97.0,185640.0,171332.0,14308.0,7.7,415123.0,0.1031718309994869,0.59,0.35,0.01,0.02,0.0,0.01,0.02,0.067146364,0.040306126,0.024619209,0.012557724,0.01532076,0.043179973,0.067895539,0.063636561,0.062410418,0.059620883,0.063672695,0.067225858,0.072048525,0.071530607,0.024638481,0.033927294,0.021188901,0.02788812,0.035288336,0.02394471,0.016354189,0.019991665,0.065607061,0.52,0.4631,43642.0,0.4631,19.3,4.71,68.88,80.2,65.8,0.3126521614109077,0.038426808,27884.0,180277.0,0.1546730864170138,14005.0,79.0,11246.0,100.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,13.914466953140986,8.762743894365604,5.151723058775383,-0.03407771488482525,14.40536901111237,11.105142331309034,3.300226679803336,493.0,260.0,233.0,124300.0,561.0,816.0,0.5029996720615753,109.0,0.0,0.33,8.7,42944.0,20.0,186932.0
AL-501,mobile county,2015,578,364,214,72,36,470,173,405,14,230,0,0,0,1,9,335,1,2,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,120500.0,0.4894159894159894,612.0,798.0,0.35,141.0,182024.0,0.00205312,0.0,186.0,122400,0.4991469561845676,598,816.0,0.33,122.0,180932,0.003832983,0.0,218.0,0500000US01097,1097.0,3.01,364.36,181.89,124.12,CN0109700000000,1.0,97.0,186483.0,173586.0,12897.0,6.9,415395.0,0.1113012915417855,0.59,0.35,0.01,0.02,0.0,0.01,0.02,0.066002239,0.041471371,0.023688297,0.011413233,0.017544747,0.04021955,0.073765934,0.06432191,0.060479784,0.059184631,0.059853874,0.065008004,0.070686937,0.06263436,0.029858328,0.039875299,0.019911169,0.030840525,0.037193515,0.027434129,0.015900528,0.016495143,0.066216493,0.52,0.4789,42699.0,0.4789,17.7,4.99,68.89,81.6,68.3,0.3252028428194649,0.047532194,27918.0,180932.0,0.1543010633829284,14023.0,80.0,11213.0,100.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,15.01798301015341,9.328987841,5.688995169175288,0.07930710250911344,13.914466953140986,8.762743894365604,5.151723058775383,598.0,461.0,137.0,124500.0,576.0,826.0,0.4958484842592413,118.0,0.0,0.33,7.7,43642.0,19.3,185640.0
AL-501,mobile county,2016,623,387,236,93,30,500,215,406,18,276,0,0,0,3,18,318,0,8,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,126800.0,0.4647905541491897,605.0,807.0,0.34,84.0,182640.0,0.003710044,0.0,202.0,123500,0.4851509667587389,606,818.0,0.34,118.0,181612,0.004187708,0.0,212.0,0500000US01097,1097.0,1.89,371.24,185.32,126.47,CN0109700000000,1.0,97.0,186230.0,173856.0,12374.0,6.6,414836.0,0.115103318,0.59,0.36,0.01,0.02,0.0,0.01,0.02,0.065314968,0.041910538,0.024489196,0.013523416,0.011421381,0.042110617,0.074101573,0.065071498,0.063543183,0.055723226,0.060855374,0.064946147,0.06650821,0.068313743,0.023269437,0.04069319,0.024556692,0.030913421,0.036804906,0.025106307,0.018433791,0.017553925,0.06483526,0.52,0.4756,45744.0,0.4756,19.4,12.3,72.18,81.9,69.3,0.347024637,0.04281647,26527.0,181612.0,0.146064137,14491.0,94.0,13327.5,100.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,14.639272384679494,8.237610368276744,6.401662016402749,-0.025217143022327027,15.01798301015341,9.328987841,5.688995169175288,578.0,364.0,214.0,122400.0,598.0,816.0,0.4991469561845676,122.0,0.0,0.33,6.9,42699.0,17.7,186483.0
AL-501,mobile county,2017,606,341,265,116,35,455,222,383,18,273,0,0,0,0,9,314,4,6,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,131200.0,0.4398176621685178,633.0,819.0,0.36,94.0,183912.0,0.003297066,0.31,186.0,124500,0.4791566008928744,623,831.0,0.34,118.0,182505,0.004076882,0.29,208.0,0500000US01097,1097.0,3.41,383.89,191.64,130.78,CN0109700000000,1.0,97.0,189017.0,178966.0,10051.0,5.3,413955.0,0.1161720476863427,0.59,0.36,0.01,0.02,0.0,0.01,0.02,0.06736481,0.041714679,0.025058279,0.016262637,0.015062024,0.035489365,0.073570799,0.063371623,0.056808107,0.062743535,0.060844778,0.061393147,0.063154208,0.066628015,0.028189054,0.03877233,0.023722385,0.032972183,0.040219348,0.02640142,0.01856482,0.016223986,0.065468469,0.53,0.4885,46023.0,0.4885,19.6,3.35,65.99,80.3,67.7,0.3286042712807792,0.040883684,26444.0,182505.0,0.1448946604202624,13285.0,85.0,11365.0,100.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,13.316995241168124,7.685670574757648,5.631324666410478,-0.09032396616208727,14.639272384679494,8.237610368276744,6.401662016402749,623.0,387.0,236.0,123500.0,606.0,818.0,0.4851509667587389,118.0,0.0,0.34,6.6,45744.0,19.4,186230.0
AL-501,mobile county,2018,551,318,233,97,30,424,200,349,20,219,0,0,0,0,20,307,1,4,['AL-501'],['Mobile City & County/Baldwin County CoC'],Other Largely Urban CoC,alabama,131700.0,0.4506707019120127,633.0,797.0,0.4,47.0,184687.0,0.005118927,0.33,164.0,126600,0.4647694247957449,635,840.0,0.35,99.0,183164,0.003362617,0.3,205.0,0500000US01097,1097.0,5.32,404.33,201.84,137.74,CN0109700000000,1.0,97.0,191026.0,182105.0,8921.0,4.7,413757.0,0.1256800489176014,0.58,0.36,0.01,0.02,0.0,0.01,0.02,0.068600652,0.041021662,0.023547638,0.011796779,0.011506754,0.042014999,0.073717182,0.067718492,0.058002644,0.060624956,0.06001832,0.059759714,0.062792895,0.070519653,0.029493157,0.033485838,0.025031601,0.028514321,0.041613797,0.030931199,0.017921147,0.01685047,0.064516129,0.52,0.4805,43061.0,0.4805,20.8,4.42,72.83,81.5,68.7,0.3306640839515541,0.034230888,26236.0,183164.0,0.1432377541438274,13129.0,85.0,11111.0,99.0,30385.0,222270.0,1031283.0,142774.0,5717.0,31380.0,3.2319101535081023,2.599451385672263,12.221388640158755,7.3328331840952545,4.888555456063503,-0.08227130679016936,13.316995241168124,7.685670574757648,5.631324666410478,606.0,341.0,265.0,124500.0,623.0,831.0,0.4791566008928744,118.0,0.29,0.34,5.3,46023.0,19.6,189017.0
AZ-501,pima county,2013,2238,1737,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['AZ-501'],['Tucson/Pima County CoC'],Major City CoC,arizona,155300.0,0.4892790292390112,682.0,836.0,0.4,77.0,446987.0,0.009707252,0.0,154.0,167500,0.5000348611827702,675,896.0,0.37,95.0,442960,0.010300983,0.0,221.0,0500000US04019,4019.0,5.29,440.4,185.33,123.86,CN0401900000000,4.0,19.0,462267.0,430789.0,31478.0,6.8,996554.0,0.1235477455311001,0.78,0.03,0.03,0.03,0.0,0.09,0.04,0.062662936,0.037062718,0.03237958,0.019858432,0.019475111,0.049932066,0.060108133,0.062547539,0.056141463,0.059222079,0.057668726,0.061203909,0.06441096,0.066352651,0.02325313,0.036586076,0.025091465,0.027911182,0.042920905,0.032992693,0.023362507,0.019353693,0.059502044,0.51,0.4769,43824.0,0.4769,19.5,0.0,10.26,84.9,68.5,0.3277519755417077,0.027105934,19124.0,442960.0,0.043173198,9562.0,95.0,9037.0,99.0,26340.0,197965.0,784625.0,129733.0,2805.0,17327.0,2.5658116934841484,3.357017683606818,21.69203875299149,17.043033659991476,4.649005093000012,-0.03408007205323116,22.45738815959797,17.43006400054588,5.027324159052093,2366.0,1757.0,609.0,177500.0,658.0,906.0,0.4971227667360264,100.0,0.0,0.36,7.4,44762.0,20.0,466804.0
AZ-501,pima county,2014,2179,1712,467,445,199,1535,0,0,0,0,0,0,0,0,0,0,0,0,['AZ-501'],['Tucson/Pima County CoC'],Major City CoC,arizona,158400.0,0.4918165571683873,687.0,847.0,0.4,85.0,448835.0,0.010052933,0.0,160.0,161700,0.4938539162236294,686,889.0,0.38,89.0,444564,0.010573474,0.0,203.0,0500000US04019,4019.0,6.7,469.9,197.75,132.16,CN0401900000000,4.0,19.0,465898.0,437713.0,28185.0,6.0,1004516.0,0.120527697,0.77,0.03,0.03,0.03,0.0,0.09,0.04,0.063239411,0.037000904,0.03118915,0.020304306,0.020110182,0.051159962,0.059434593,0.062550522,0.057714362,0.056586456,0.055618825,0.059374863,0.063223483,0.064299623,0.026001577,0.035711726,0.025466991,0.030933305,0.043631958,0.032492265,0.024563073,0.020156971,0.059235493,0.51,0.4745,45856.0,0.4745,18.9,2.28,11.02,84.4,69.3,0.3290107993179378,0.026878474,18498.0,444564.0,0.041609307,9249.0,95.0,8907.0,100.0,26285.0,202670.0,789390.0,140028.0,2864.0,17373.0,2.563625077591558,3.329786290680145,18.445087992871464,14.85111754659538,3.593970446276082,-0.1496839830083858,21.69203875299149,17.043033659991476,4.649005093000012,2238.0,1737.0,501.0,167500.0,675.0,896.0,0.5000348611827702,95.0,0.0,0.37,6.8,43824.0,19.5,462267.0
AZ-501,pima county,2015,1863,1500,363,340,188,1335,662,1196,589,1395,0,0,0,12,119,226,7,104,['AZ-501'],['Tucson/Pima County CoC'],Major City CoC,arizona,165900.0,0.4717323467910568,689.0,861.0,0.39,77.0,452104.0,0.012884099,0.0,172.0,159900,0.489602125,686,874.0,0.39,85.0,446769,0.011086645,0.0,188.0,0500000US04019,4019.0,2.91,483.59,203.51,136.01,CN0401900000000,4.0,19.0,467826.0,442099.0,25727.0,5.5,1010025.0,0.1210494789732927,0.77,0.04,0.04,0.03,0.0,0.09,0.04,0.058523304,0.037069379,0.031705156,0.01780946,0.020822257,0.051002698,0.061122249,0.061229177,0.057554021,0.055404569,0.05514913,0.06218757,0.061239078,0.062132125,0.025587485,0.03867033,0.024632064,0.035375362,0.044318705,0.0315012,0.022870721,0.025267691,0.058826267,0.51,0.4707,47099.0,0.4707,18.9,1.47,14.29,85.2,68.6,0.3339000763029559,0.021178755,18637.0,446769.0,0.04171507,9319.0,92.0,8904.0,100.0,26340.0,208665.0,798644.0,144320.0,2932.0,17343.0,2.538678059310531,3.298090262995778,17.368525672944266,13.619285853458845,3.7492398194854193,-0.05836580017093229,18.445087992871464,14.85111754659538,3.593970446276082,2179.0,1712.0,467.0,161700.0,686.0,889.0,0.4938539162236294,89.0,0.0,0.38,6.0,45856.0,18.9,465898.0
AZ-501,pima county,2016,1765,1384,381,296,167,1302,577,1184,539,1269,0,0,0,12,135,213,12,124,['AZ-501'],['Tucson/Pima County CoC'],Major City CoC,arizona,170300.0,0.4709395357556524,716.0,870.0,0.37,79.0,456576.0,0.009667319,0.0,154.0,160800,0.4905844134622298,698,874.0,0.39,78.0,450828,0.010516199,0.0,176.0,0500000US04019,4019.0,5.01,507.83,213.71,142.83,CN0401900000000,4.0,19.0,471452.0,447695.0,23757.0,5.0,1016206.0,0.1194423177977693,0.76,0.03,0.03,0.03,0.0,0.09,0.05,0.058643621,0.037627213,0.03091696,0.020697575,0.018831812,0.049233128,0.063856147,0.059248814,0.062199987,0.049776325,0.055151219,0.059837277,0.058632797,0.060704227,0.026993543,0.038917306,0.027659746,0.033728398,0.047830853,0.035042108,0.024329713,0.022053599,0.058087632,0.51,0.4684,47560.0,0.4684,18.4,1.27,12.51,85.9,69.5,0.3602951547708762,0.02292718,18673.0,450828.0,0.041419344,14491.0,94.0,13327.5,100.0,26250.0,214365.0,803849.0,145369.0,3038.0,17328.0,2.533560407489466,3.265538677040091,15.389594326773691,11.625303465396389,3.764290861377301,-0.11393778513125297,17.368525672944266,13.619285853458845,3.7492398194854193,1863.0,1500.0,363.0,159900.0,686.0,874.0,0.489602125,85.0,0.0,0.39,5.5,47099.0,18.9,467826.0
