,pct_change_total_homeless_per_10k
total_homeless_per_10k,0.5410187617665442
unsheltered_homeless_per_10k,0.4681643374097487
total_sheltered_homeless_per_10k,0.45625656226980266
CoC_Category_Largely Rural CoC,0.3638834777508319
Percentage_of_Households_with_Cost_Burden_5_year,-0.14856068760786692
Rental_Vacancy_Rates_1_year,-0.1347358035186958
Share_of_Single_Person_Households_5_year_lag1,0.10453513218605645
total_sheltered_homeless_per_10k_lag1,-0.09735995645324008
Share_of_Single_Person_Households_1_year,0.08928021674089588
Share_of_Single_Person_Households_5_year,0.08606960867439827
Estimate Total  15 to 17 years,0.08486142072497518
Estimate Total Black or African American alone,0.08266398169685142
Rental_Vacancy_Rates_5_year,-0.08116462907813658
total_homeless_per_10k_lag1,-0.0805829461937953
Share_of_Renter_Occupied_Units_5_year,-0.0756758848157932
Year,0.07321912135589344
Gini Index,-0.07194687584744261
Share_of_Renter_Occupied_Units_1_year,-0.06913404601746542
Estimate Total White alone,-0.06669820096347813
Estimate Total  10 to 14 years,0.06668779583575236
Estimate Gini Index,-0.06408449158406408
Unemployment Rate,-0.06357962544845486
FIPS code,0.05944598968825617
Median_Rent_5_year,-0.0535032320118231
Disabled workers_missing,0.05263757946230213
Total_missing,0.05263757946230213
Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over_missing,0.05263757946230213
With a Disability Estimate Population Age 16 and Over_missing,0.05263757946230213
Aged_missing,0.05263757946230213
Blind and disabled_missing,0.05263757946230213
SSI Participation Rate (Percent)_missing,0.05263757946230213
SSDI Participation Rate (Percent)_missing,0.05263757946230213
Estimate Total  30 to 34 years,-0.05228981326867841
unsheltered_homeless_per_10k_lag1,-0.051927357805615165
Median_Gross_Rent_5_year,-0.04677988126940732
Share of Single-Adult Households,-0.04547045309899065
Total_Housing_Units_5_year,-0.04291402508725206
Percentage_of_Households_with_Cost_Burden_5_year_lag1,0.04244900630681358
Estimate Total  5 to 9 years,0.0421452595296965
Share_of_Overcrowded_Housing_Units_5_year,-0.04192597968336344
SummerTemperature,0.038548258701625635
Estimate Total Some other race alone,-0.038490390448269164
Unemployed,-0.0383718707961755
Total_Housing_Units_1_year,-0.036173660571945085
HPI with 2000 base,0.03528923164558553
Overall Homeless - Female,0.03462934511845828
Overall Homeless - American Indian or Alaska Native,0.034493190574435034
Share of Families Receiving Cash Assistance,-0.03296640518743125
State FIPS,0.03265773420923144
Median_Gross_Rent_5_year_lag1,-0.032538980531246806
Overall Homeless - White,0.03207054022341049
Estimate Total  65 and 66 years,-0.03201714813203203
CoC_Category_Other Largely Urban CoC,-0.03195665179690124
Estimate Total  60 and 61 years,0.031880812341678076
Estimate Total  85 years and over,-0.0315397359571739
pct_occupied,0.03023268065869379
Overall Homeless - Male,0.03001088007304894
Estimate Total  25 to 29 years,-0.029805732374848175
Overall Homeless - Multiple Races,0.029041451088633832
Overall Homeless - Black or African American,0.028245578136841257
Estimate Total  35 to 39 years,-0.028133845757010095
Median_Rental_Utility_Cost_5_year,-0.02805041264290593
Overall Homeless - Over 24,0.02767679529501361
Median_Rent_1_year,-0.02759688855161861
Overall Homeless - Native Hawaiian or Other Pacific Islander,0.027246791395563193
SSDI Participation Rate (Percent),-0.026388447825740183
Estimate Total  Under 5 years,0.026258164852982525
pct_reported,0.026252590167499958
Median Household Income_lag1,-0.026164346598157303
Median_House_Values_5_year,-0.026158432525958817
Estimate Total American Indian and Alaska Native alone,-0.02610187373207168
Labor Force,-0.025765930387991944
Total Population,-0.025282058975589133
Percentage_of_Households_with_Cost_Burden_1_year,-0.025068744025665377
Overall Homeless - Asian,0.024886237404985655
Estimate Total  80 to 84 years,-0.024649601308270392
Employed,-0.024592887451012672
HUD_Subsidized_Total_Units,-0.02429398611598543
Estimate Total  45 to 49 years,0.024029716028548403
Overall Homeless - Hispanic/Latino,0.023901173738555843
JanuaryPrecipitation,0.023837631682950892
Estimate Total Native Hawaiian and Other Pacific Islander alone,0.0228674914744277
Median_Gross_Rent_1_year,-0.022005316704766548
Estimate Total Two or more races,0.021731536073942754
number_reported,-0.021604647200886073
Estimate Total  40 to 44 years,0.020934057017793255
Estimate Total  20 years,-0.020074575652804665
Poverty Rate_lag1,0.01993331123836538
Overall Homeless - Age 18 to 24,0.019882386409554
Estimate Total Asian alone,-0.01900786818039235
Aged,0.018490628959081507
Estimate Total  75 to 79 years,-0.018066009766645415
Proportion of Females,0.017549767207562832
SSI Participation Rate (Percent),0.017406700564015654
Rental_Vacancy_Rates_5_year_lag1,-0.015226490796009878
Share of HUD-Assisted Units,-0.015147838119661493
Percentage of Homes Built before 1940,-0.014975089832278316
Estimate Total  62 to 64 years,-0.014603017621505936
Estimate Total  67 to 69 years,0.014535530233380512
Blind and disabled,0.01405284597458894
Overall Homeless - Under 18,0.014038307929621305
HPI,-0.01343132708876357
Estimate Total  70 to 74 years,-0.013395570127520342
Unemployment Rate_lag1,-0.01253508177819627
Share_of_Overcrowded_Housing_Units_1_year,0.011334769842296437
HPI with 1990 base,0.011186383623297547
Total Housing Units,-0.010085584691362766
Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,0.009466747918097602
HUD_Assisted_Total_Units,-0.009319459625882723
JanuaryTemperature,0.008996737817616188
Share_of_Renter_Occupied_Units_5_year_lag1,0.008845089267240048
Estimate Total  55 to 59 years,-0.008616268288575844
Unsheltered Homeless,0.008551065045381463
YearlyPrecipitation,-0.007558925856065469
Sheltered Total Homeless,-0.007555791504197368
Estimate Total  50 to 54 years,0.0072462050629746545
Median_Rent_5_year_lag1,-0.006834020339275992
Estimate Total  18 and 19 years,-0.006365400459687203
County FIPS,-0.006157899945322695
Estimate Total  22 to 24 years,-0.005553625644425342
Poverty Rate,-0.005042291886276604
Annual Change (%),0.003742598987111132
Median Household Income,-0.003455547722158319
Disabled workers,-0.003427438304573648
With a Disability Estimate Population Age 16 and Over,0.003220332652457433
Estimate Total  21 years,-0.003180813795428283
Overall Homeless,0.0030761843592506093
Labor Force_lag1,0.0028333105503760138
CoC_Category_Major City CoC,-0.0024584609501986624
Median_House_Values_5_year_lag1,-0.0012419349856597067
Median_House_Values_1_year,-0.0010640875020547088
Total,0.0008713251015394776
Median_Rental_Utility_Cost_1_year,-0.0006267381156704673
"Overall Homeless - Black, African American, or African",
Overall Homeless - Asian or Asian American,
"Overall Homeless - American Indian, Alaska Native, or Indigenous",
Estimate Total Some Other Race alone_missing,
Estimate Total Two or More Races_missing,
