County,total_homeless_per_10k_lag1,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Labor Force_lag1,FixedEffect
alameda county,0.5552863676042934,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,0.10112092922514113,0.20802995023150203,-0.0696989347496644,1.2619915501641163,-0.11429974849988875,0.8655088731664267,0.5738952093592175,-16.279697744305956
allegheny county,-0.4183458630296715,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.2551102228926487,-0.6900454191035328,0.10356998976916947,-0.11221689473101747,-0.2168625472626973,-0.5416691578249748,0.30038977801371936,-20.336093023904237
anne arundel county,-0.6240381054900286,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.7919315880960767,-0.690838421637162,-0.05525985770642831,-1.1101539797143885,-0.6197878281165876,1.452456870430811,-0.27325064502396373,-18.248480823025332
arlington county,-0.27137658212487115,-0.14425411105030353,-0.4596175424441058,2.623724179754528,-2.5974973962709167,-0.6753748722313933,0.14688722089887804,2.2272093864595086,-1.3523792478509338,2.3480244894929396,-0.5281260897535568,-30.79149541041099
atlantic county,0.10093315559628613,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,1.7120430487698042,-0.6063836518056555,-0.01194262657671974,-0.43940938161081117,1.6732233156519156,-0.47695709520085117,-0.5550608977149795,-12.215212770226847
baltimore county,-0.49610919853652663,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.30562252470096746,-0.6636120013158938,0.26721286292584595,-0.19946822456562915,-0.2583760610476436,0.29918037036230244,-0.010795616537101179,-20.557703564847873
beaver county,-0.6338059196258304,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.901575405777517,-0.6626868316933265,0.016935527509752468,-1.0119962336504502,0.18606273359119305,-0.6675978418320531,-0.6274166605503834,-17.11222225292014
bergen county,-0.7814075151547785,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.41472841440706104,-0.7174040065137391,-0.0696989347496644,-0.12857651907500717,-0.2901216892361319,1.2482906221827839,0.026497022581537712,-26.968046548203684
berks county,-0.3130139679404528,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.0006726973794308636,-0.6539638038234056,-0.05525985770642831,-0.8811192388985326,-0.12895157689457568,-0.3932057044002704,-0.41936652932515645,-12.618526187568522
bexar county,-0.11572581450003745,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,-0.8064470100529227,-0.602022137870695,-0.02638170361995597,0.5585277033725597,-0.6051359997219007,-0.6725239393334353,0.6746645291673584,-22.978719002332117
brevard county,0.20300939786651176,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.2625837944314857,2.662372791813783,0.016935527509752468,-0.9956366093064605,0.35455876013009263,-0.7936889246578582,-0.3394369473007469,-14.257247037093878
broward county,-0.22219469401687286,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,1.983575210611802,1.6275044854277163,0.0024964504665163645,-0.06313802169904836,-0.09232200590785854,-0.603473508266179,0.8583651240458938,-22.229046147587276
bucks county,-0.5734108509511816,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.004590170538770272,-0.6242262088123117,-0.0696989347496644,-1.4700657152821617,-0.2901216892361319,0.7664919934055184,-0.2112107143484248,-15.119804607670858
buncombe county,0.20211707927146252,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.8675103393319776,-0.7027334596415996,0.07469183568269726,0.00230047567691027,-0.5098991151564357,-0.924752504647539,-0.5541748012218437,-9.96005237970282
burlington county,0.0953488709772706,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.07254606811811101,-0.6761678747650224,-0.05525985770642831,-1.4373464665941822,0.02489262124963695,0.8109660699054391,-0.38693122522697554,-5.807900404424956
camden county,1.297193945888749,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.6992925945673739,-0.6385993797343404,-0.12565035829220456,-1.7952132491189565,0.34998006375675295,0.6980321913754177,-0.4869432591923536,-3.636866482696399
champaign county,-0.48736403915691034,-0.14425411105030353,-0.4596175424441058,2.623724179754528,0.7842772514319246,1.3103034719760485,0.08913091272593336,1.0983953067242196,-0.13627749109191928,-0.8850807932156849,-0.5925204348100207,-27.88235538962598
chester county,-0.32871710894773204,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.0108103109601885,-0.6948034343053079,-0.08413801179290058,-1.2573905988102958,-0.7443283694714264,1.2870575401960167,-0.31311428158829974,-12.92636717357821
clackamas county,-0.18811948656819363,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.45453961392064607,-0.711852988778335,-0.0696989347496644,-0.5212075033307597,-0.17290706207863646,0.27216545575503615,-0.42970349823532233,-16.284212422506947
clark county,0.3357377819177735,-0.14425411105030353,0.8580522302122103,-0.3811376240369742,-0.1291005938368012,-0.6279929708470503,-0.04082078066319207,0.54216807902857,0.5889880144450835,-0.32688898678158335,0.24925119493170667,-15.682069788261938
clarke county,0.10326185586978583,-0.14425411105030353,-0.4596175424441058,2.623724179754528,0.8975122439753551,2.7178829691678246,0.17576537498535033,2.538042248995312,0.2666477897619711,-1.6601330222282986,-0.673171411377169,-30.851793176837678
cobb county,-0.6672004634545915,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.5069979399539182,1.5204491433877785,-0.05525985770642831,-0.14493614341899688,-0.1655811478812931,0.18720767372962704,-0.11080044479214937,-27.964257725424456
collier county,-0.24231907281616438,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.5638085040491966,2.5513524371056993,-0.02638170361995597,-1.0283558579944398,0.0029148786576065344,-0.28782433760068454,-0.5018399329734475,-17.506075001178484
contra costa county,-0.010104826694204613,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.6853463260714218,0.37456048229362776,-0.09857708883613674,-0.17765539210697617,0.002914878657606471,1.0342180459924166,0.12729983178625934,-17.02173860606165
cook county,-0.8803998528410286,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.03339264616314354,1.10808782590061,0.060252758639461036,0.7384835711564463,0.6036398428397701,-0.41417835184728563,3.6234940136433655,-38.093078005456846
cumberland county,0.16425075918125356,-0.14425411105030353,-0.4596175424441058,2.623724179754528,-0.7687147178960475,-0.5948851150680324,0.04581368159622493,1.180193428444168,0.8014395261680439,-1.068877589629111,-0.5572113561806629,-20.753585571593728
cuyahoga county,-0.141798648004219,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.3302719174468682,-0.5936956112675887,0.11800906681240571,0.493089205996601,0.0248926212496369,-1.0372948860252724,0.2467592544222002,-19.597391258230015
dallas county,-0.22258093856224367,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,-0.7522138567415133,-0.5857655859312969,-0.01194262657671974,1.425587793604013,-0.3560549170122231,-0.6829561301173673,1.3123001695350431,-29.13918492066326
dane county,-0.24750729681464093,-0.14425411105030353,-0.4596175424441058,2.623724179754528,-0.329883162342098,-0.7332640571863226,0.016935527509752468,0.6239662007485185,-1.0959722509439127,0.04889801311389417,-0.26041157898401696,-18.188031451832448
dauphin county,-0.15508646864408973,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.4079918273265555,-0.6174856872764638,0.0313746045529887,0.05137934870887929,-0.22418846146004073,-0.43822884357302955,-0.5363482856206253,-16.377466810479202
dekalb county,-0.7785199831858632,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.3605504314864456,1.8059300554942794,0.3519221149128315,1.4026843195224277,0.17434127087544354,-0.17755863299596059,0.146043325496313,-36.560534052015136
delaware county,-0.5203904330827336,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.26661646516211446,-0.6103486644738013,0.0024964504665163645,-0.6684441224266671,-0.15092931948660618,0.113115146004755,-0.2878484533908998,-18.909836255376597
dupage county,-0.6676491216996133,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.9895597338139009,0.814676888457817,-0.05525985770642831,-1.1101539797143885,-0.15092931948660615,0.9341417072712425,0.07705914883716093,-22.05545630355065
durham county,0.09995380073178081,-0.14425411105030353,-0.4596175424441058,2.623724179754528,-0.3858552859722631,-0.6377072518840077,0.060252758639461036,1.180193428444168,-0.29744760343347537,-0.5893370777598577,-0.5123218395999627,-17.60010159613082
dutchess county,-0.24822780199582364,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.30310552058715234,-0.6515847962225181,-0.02638170361995597,-0.5702863763627288,-0.23884028985472763,0.4319272269968827,-0.5312334665510466,-14.44463789779235
essex county,0.21744790630700964,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.8853499488866634,-0.5825935757967803,0.016935527509752468,2.1781305134275395,0.7794617835760135,-0.5151362841558342,-0.14817131733722683,-23.492660792787344
fairfax county,-0.4001853213262435,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.3048550920881674,-0.7249375305832163,0.060252758639461036,-0.46940202624145905,-1.0862043653474547,2.678315331434128,0.25674920547298796,-19.929969751108246
forsyth county,-0.2511148779381877,-0.14425411105030353,-0.4596175424441058,2.623724179754528,-0.24245262181682878,-0.5009143148329758,0.04581368159622493,0.11681784608483818,0.039544449644323895,-0.948176600929622,-0.47327155616733724,-15.246115417189916
franklin county,-0.2718321666965389,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,-0.9228245718168866,-0.6218472012114242,0.04581368159622493,1.1147549310682092,-0.46594362997237493,-0.5632604674385687,0.3104558122154822,-27.302465412654673
fresno county,0.463716952259125,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,1.2059515972917616,0.683831470409004,-0.11301616587937291,1.2456319258201265,2.383836992794232,-0.9627692947837952,-0.04330146797070217,-24.464598520150037
fulton county,-0.6487342714415136,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.4038768219351775,1.4506649204284114,0.917933935007689,1.127842630543401,-0.21539736442322868,-0.3243996448888126,-0.1200852701928542,-34.970330301256844
genesee county,-0.3840408634279004,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.7585518761988533,-0.6095556619401721,0.016935527509752468,-0.6030056250507082,0.6695730706158615,-1.1241705207670751,-0.47107058910353217,-15.989157024164864
gloucester county,0.25380467358042486,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.8686466678032856,-0.7059054697761162,0.2912779913312397,-0.3923754616218408,0.4589530374422371,-0.03132120337937679,-0.3491243214246752,9.451121005651588
hamilton county,-0.16818534985694705,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.38796056652287136,-0.5738705479268595,0.08913091272593336,0.6076065764045289,-0.20221071886801031,-0.7421002332422836,-0.10209951525592696,-21.13302132431815
hennepin county,0.47989390697031425,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,-0.5571903868819194,-0.71661100398011,0.060252758639461036,0.1331774704288278,-0.9274762244050131,0.17905679968495372,0.3475771613057082,-10.364816703695746
hillsborough county,0.09508246636233407,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.6020557676370669,1.5918193714144038,0.0024964504665163645,0.5748873277165495,-0.12895157689457576,-0.6884931565082459,0.366935130542368,-27.066034990002567
horry county,6.074466258657907,6.932211447695141,-0.4596175424441058,-0.3811376240369742,-1.9212046818749706,-0.6438034588612819,0.025959950661775255,-0.12039670690301235,0.4397225126742104,-1.2533181813596328,-0.639043794738659,-8.311581179227247
howard county,-0.6593565770727411,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-1.0326380305095182,-0.7003544520407121,-0.11301616587937291,-1.0447154823384295,-0.9128243960103261,2.5081033250951577,-0.47927741278856356,-19.832397519188724
hudson county,-0.13660723370752859,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.8176135572866936,-0.663083332960141,-0.01194262657671974,3.6995755774185803,0.07617402063104114,-0.1825667032344145,-0.17289994267308187,-41.90510668941505
johnson county,-0.8123028574771671,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-2.1614405861097956,0.5609160776964827,-0.04082078066319207,-0.6520844980826773,-1.0300390231678216,0.7350948884516535,-0.23674500672497184,-25.427407115067155
kane county,-0.5711753097130504,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,0.2556786222625941,0.6877964830771498,-0.11301616587937291,-1.1592328527463576,0.31060327494603196,0.3972976122226443,-0.32756028965761985,-19.42230081247656
kent county,-0.30123851623642317,-0.14425411105030353,-0.4596175424441058,-0.3811376240369742,-0.38693102772989846,-0.67854688236591,-0.04082078066319207,-0.5866460007067185,-0.5611805145378399,-0.4790682798443007,-0.2097157696453215,-14.795690986726537
kern county,-0.3449426537835323,-0.14425411105030353,2.1757220028685267,-0.3811376240369742,0.5281642758810623,0.7750267617763585,-0.12745524292260904,0.7548431955004359,2.1567336526765843,-0.8273596130738996,-0.12717209316486103,-30.90292750783278
kershaw county,0.7167178219646901,6.932211447695141,-0.4596175424441058,-0.3811376240369742,-0.39953469915384804,0.10916896770573221,1.5041604629630771,-0.6357248737386877,-0.536760800546695,-0.8991038023248002,-0.5865199310021824,135.60186180028145
