CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
AL-501,mobile county,2011,0.0,0.0,1.0,120700.0,513.0,1206.0,0.4726627755893332,97.0,0.0,0.32,5.5,39998.0,20.2,321393.5,-0.1198906625211071
AL-501,mobile county,2012,0.0,0.0,1.0,124100.0,531.0,791.0,0.490373249,99.0,0.0,0.32,5.5,42372.0,19.4,321393.5,-0.2226660172734226
AL-501,mobile county,2013,0.0,0.0,1.0,125400.0,548.0,811.0,0.4932051257197138,98.0,0.0,0.33,9.4,39691.0,21.1,188890.0,0.2099311956901419
AL-501,mobile county,2014,0.0,0.0,1.0,124300.0,561.0,816.0,0.5029996720615753,109.0,0.0,0.33,8.7,42944.0,20.0,186932.0,-0.0340777148848252
AL-501,mobile county,2015,0.0,0.0,1.0,124500.0,576.0,826.0,0.4958484842592413,118.0,0.0,0.33,7.7,43642.0,19.3,185640.0,0.0793071025091134
AL-501,mobile county,2016,0.0,0.0,1.0,122400.0,598.0,816.0,0.4991469561845676,122.0,0.0,0.33,6.9,42699.0,17.7,186483.0,-0.025217143022327
AL-501,mobile county,2017,0.0,0.0,1.0,123500.0,606.0,818.0,0.4851509667587389,118.0,0.0,0.34,6.6,45744.0,19.4,186230.0,-0.0903239661620872
AL-501,mobile county,2018,0.0,0.0,1.0,124500.0,623.0,831.0,0.4791566008928744,118.0,0.29,0.34,5.3,46023.0,19.6,189017.0,-0.0822713067901693
AZ-501,pima county,2011,0.0,1.0,0.0,198300.0,630.0,1206.0,0.4920692407757805,89.0,0.0,0.35,5.5,44274.0,17.8,321393.5,-0.1015747059261454
AZ-501,pima county,2012,0.0,1.0,0.0,190500.0,654.0,906.0,0.4957560355781448,96.0,0.0,0.36,5.5,44112.0,20.4,321393.5,-0.0580482981717639
AZ-501,pima county,2013,0.0,1.0,0.0,177500.0,658.0,906.0,0.4971227667360264,100.0,0.0,0.36,7.4,44762.0,20.0,466804.0,-0.0340800720532311
AZ-501,pima county,2014,0.0,1.0,0.0,167500.0,675.0,896.0,0.5000348611827702,95.0,0.0,0.37,6.8,43824.0,19.5,462267.0,-0.1496839830083858
AZ-501,pima county,2015,0.0,1.0,0.0,161700.0,686.0,889.0,0.4938539162236294,89.0,0.0,0.38,6.0,45856.0,18.9,465898.0,-0.0583658001709322
AZ-501,pima county,2016,0.0,1.0,0.0,159900.0,686.0,874.0,0.489602125,85.0,0.0,0.39,5.5,47099.0,18.9,467826.0,-0.1139377851312529
AZ-501,pima county,2017,0.0,1.0,0.0,160800.0,698.0,874.0,0.4905844134622298,78.0,0.0,0.39,5.0,47560.0,18.4,471452.0,-0.1370098186592133
AZ-501,pima county,2018,0.0,1.0,0.0,166300.0,719.0,894.0,0.4910312275451075,75.0,0.31,0.38,4.6,51425.0,16.7,464230.0,-0.0135872213557257
AZ-502,maricopa county,2011,0.0,1.0,0.0,238600.0,781.0,1206.0,0.4801874166195833,109.0,0.0,0.34,5.5,50410.0,16.5,321393.5,0.0946889558524013
AZ-502,maricopa county,2012,0.0,1.0,0.0,219300.0,792.0,1150.0,0.4825079219316541,112.0,0.0,0.35,5.5,50770.0,17.4,321393.5,-0.107134326922583
AZ-502,maricopa county,2013,0.0,1.0,0.0,193900.0,797.0,1127.0,0.4822003921529988,112.0,0.0,0.36,7.3,51432.0,17.5,1911529.0,-0.014199216445251
AZ-502,maricopa county,2014,0.0,1.0,0.0,176500.0,793.0,1089.0,0.4788745710152874,105.0,0.0,0.37,6.6,52045.0,17.7,1929092.0,-0.06693196406869
AZ-502,maricopa county,2015,0.0,1.0,0.0,175600.0,796.0,1063.0,0.4721826221976046,94.0,0.0,0.39,5.8,53896.0,17.1,1973683.0,-0.0053022198615095
AZ-502,maricopa county,2016,0.0,1.0,0.0,187100.0,806.0,1045.0,0.4640130044376586,87.0,0.0,0.39,5.1,56004.0,16.3,2033488.0,-0.0316264261747225
AZ-502,maricopa county,2017,0.0,1.0,0.0,204900.0,830.0,1053.0,0.45988263,78.0,0.0,0.4,4.7,58737.0,15.0,2088551.0,0.0971992692478167
AZ-502,maricopa county,2018,0.0,1.0,0.0,225000.0,862.0,1086.0,0.4531691843784261,72.0,0.27,0.39,4.3,62223.0,13.4,2088547.0,0.0327108241158506
CA-500,santa clara county,2011,0.0,1.0,0.0,701000.0,1325.0,1206.0,0.4409199993425053,34.0,0.0,0.41,5.5,85002.0,10.5,321393.5,-0.0172573489443997
CA-500,santa clara county,2012,0.0,1.0,0.0,681100.0,1381.0,1830.0,0.4403907085628948,32.0,0.0,0.41,5.5,84895.0,10.6,321393.5,0.067693560620424
CA-500,santa clara county,2013,0.0,1.0,0.0,656600.0,1427.0,1858.0,0.4480088539299195,31.0,0.0,0.42,8.0,91425.0,10.8,955979.0,-0.0254304437868331
CA-500,santa clara county,2014,0.0,1.0,0.0,645600.0,1473.0,1868.0,0.4553801011543956,31.0,0.0,0.43,6.6,92014.0,10.5,968154.0,-0.1441940050730883
CA-500,santa clara county,2015,0.0,1.0,0.0,664100.0,1541.0,1902.0,0.462528013,29.0,0.0,0.43,5.2,97532.0,8.4,987613.0,-0.0055850836585331
